u,v,moda,periode,w
Yogyakarta,Jember,KRTA,1,2
Ambon,Jakarta,KPNG,2,6
Ambon,Surabaya,KPNG,2,6
Ambon,Makassar,KPNG,2,6
Ambon,Ternate,KPNG,2,6
Ambon,Manado,KPNG,2,6
Ambon,Jayapura,KPNG,2,6
Balikpapan,Pontianak,TRUK,2,15
Balikpapan,Palangkaraya,TRUK,2,15
Balikpapan,Banjarmasin,TRUK,2,15
Balikpapan,Samarinda,TRUK,2,15
Balikpapan,Tarakan,TRUK,2,15
Balikpapan,Jakarta,KBRG,2,4
Balikpapan,Surabaya,KBRG,2,4
Balikpapan,Samarinda,KBRG,2,4
Balikpapan,Palu,KBRG,2,4
Balikpapan,Manado,KBRG,2,4
Balikpapan,Kendari,KBRG,2,4
Banda Aceh,Lhokseumawe,TRUK,2,15
Banda Aceh,Medan,TRUK,2,15
Banda Aceh,Sibolga,TRUK,2,15
Banda Aceh,Pematang Siantar,TRUK,2,15
Banda Aceh,Padang,TRUK,2,15
Banda Aceh,Pekanbaru,TRUK,2,15
Banda Aceh,Bengkulu,TRUK,2,15
Banda Aceh,Jambi,TRUK,2,15
Banda Aceh,Palembang,TRUK,2,15
Banda Aceh,Lampung,TRUK,2,15
Banda Aceh,Pangkal Pinang,TRUK,2,15
Bandung,Serang,TRUK,2,15
Bandung,Jakarta,TRUK,2,15
Bandung,Tasikmalaya,TRUK,2,15
Bandung,Cirebon,TRUK,2,15
Bandung,Tegal,TRUK,2,15
Bandung,Purwokerto,TRUK,2,15
Bandung,Yogyakarta,TRUK,2,15
Bandung,Semarang,TRUK,2,15
Bandung,Solo,TRUK,2,15
Bandung,Kediri,TRUK,2,15
Bandung,Malang,TRUK,2,15
Bandung,Surabaya,TRUK,2,15
Bandung,Jember,TRUK,2,15
Bandung,Jakarta,KRTA,2,2
Bandung,Surabaya,KRTA,2,2
Bandung,Cirebon,KRTA,2,2
Bandung,Tegal,KRTA,2,2
Bandung,Semarang,KRTA,2,2
Bandung,Tasikmalaya,KRTA,2,2
Bandung,Yogyakarta,KRTA,2,2
Bandung,Solo,KRTA,2,2
Bandung,Malang,KRTA,2,2
Bandung,Kediri,KRTA,2,2
Banjarmasin,Pontianak,TRUK,2,15
Banjarmasin,Palangkaraya,TRUK,2,15
Banjarmasin,Balikpapan,TRUK,2,15
Banjarmasin,Samarinda,TRUK,2,15
